gender|cp|occupation_id|age_id|occupation|age_range
F|48067|10|1|K-12 student|Under 18
M|70072|16|56|self-employed|56+
M|55117|15|25|scientist|25-34
M|02460|7|45|executive/managerial|45-49
M|55455|20|25|writer|25-34
F|55117|9|50|homemaker|50-55
M|06810|1|35|academic/educator|35-44
M|11413|12|25|programmer|25-34
M|61614|17|25|technician/engineer|25-34
F|95370|1|35|academic/educator|35-44
F|04093|1|25|academic/educator|25-34
M|32793|12|25|programmer|25-34
M|93304|1|45|academic/educator|45-49
M|60126|0|35|other or not specified|35-44
M|22903|7|25|executive/managerial|25-34
F|20670|0|35|other or not specified|35-44
M|95350|1|50|academic/educator|50-55
F|95825|3|18|clerical/admin|18-24
M|48073|10|1|K-12 student|Under 18
M|55113|14|25|sales/marketing|25-34
M|99353|16|18|self-employed|18-24
M|53706|15|18|scientist|18-24
M|90049|0|35|other or not specified|35-44
F|10023|7|25|executive/managerial|25-34
M|01609|4|18|college/grad student|18-24
M|23112|7|25|executive/managerial|25-34
M|19130|11|25|lawyer|25-34
F|14607|1|25|academic/educator|25-34
M|33407|7|35|executive/managerial|35-44
F|19143|7|35|executive/managerial|35-44
M|06840|7|56|executive/managerial|56+
F|19355|0|25|other or not specified|25-34
M|55421|3|45|clerical/admin|45-49
F|02135|0|18|other or not specified|18-24
M|02482|1|45|academic/educator|45-49
M|94123|3|25|clerical/admin|25-34
F|66212|9|25|homemaker|25-34
F|02215|4|18|college/grad student|18-24
M|61820|4|18|college/grad student|18-24
M|10543|0|45|other or not specified|45-49
F|15116|4|18|college/grad student|18-24
M|24502|8|25|farmer|25-34
M|60614|12|25|programmer|25-34
M|98052|17|45|technician/engineer|45-49
F|94110|16|45|self-employed|45-49
M|75602|19|18|unemployed|18-24
M|94305|4|18|college/grad student|18-24
M|92107|4|25|college/grad student|25-34
M|77084|12|18|programmer|18-24
F|98133|2|25|artist|25-34
F|10562|10|1|K-12 student|Under 18
M|72212|4|18|college/grad student|18-24
M|96931|0|25|other or not specified|25-34
M|56723|1|50|academic/educator|50-55
F|55303|12|35|programmer|35-44
M|60440|20|35|writer|35-44
M|30350|19|18|unemployed|18-24
M|30303|2|25|artist|25-34
F|55413|1|50|academic/educator|50-55
M|72118|1|50|academic/educator|50-55
M|95122|17|25|technician/engineer|25-34
F|98105|3|35|clerical/admin|35-44
M|54902|4|18|college/grad student|18-24
M|53706|1|18|academic/educator|18-24
M|55803|12|35|programmer|35-44
M|57706|18|25|tradesman/craftsman|25-34
F|60181|5|50|customer service|50-55
M|53706|4|18|college/grad student|18-24
F|02143|1|25|academic/educator|25-34
M|53703|4|18|college/grad student|18-24
M|95008|14|25|sales/marketing|25-34
F|55122|0|45|other or not specified|45-49
M|53706|4|18|college/grad student|18-24
M|94530|14|35|sales/marketing|35-44
F|01748|10|1|K-12 student|Under 18
M|55413|7|35|executive/managerial|35-44
M|15321|4|18|college/grad student|18-24
F|98029|1|45|academic/educator|45-49
F|98103|0|45|other or not specified|45-49
M|49327|1|56|academic/educator|56+
F|60640|0|25|other or not specified|25-34
M|48380|17|25|technician/engineer|25-34
F|94609|2|25|artist|25-34
M|53140|4|18|college/grad student|18-24
M|94945|4|18|college/grad student|18-24
F|54467|10|1|K-12 student|Under 18
M|48360|14|25|sales/marketing|25-34
F|02476|1|45|academic/educator|45-49
F|85749|9|56|homemaker|56+
M|85749|13|56|retired|56+
M|07650|7|35|executive/managerial|35-44
F|44243|4|18|college/grad student|18-24
M|95825|17|25|technician/engineer|25-34
M|28601|17|25|technician/engineer|25-34
M|98201|0|45|other or not specified|45-49
F|78028|16|25|self-employed|25-34
F|66210|3|35|clerical/admin|35-44
F|33547|7|35|executive/managerial|35-44
F|19390|10|1|K-12 student|Under 18
M|95401|17|35|technician/engineer|35-44
F|33314|3|18|clerical/admin|18-24
M|20871|19|35|unemployed|35-44
M|92104|7|45|executive/managerial|45-49
M|00926|12|25|programmer|25-34
M|90277|12|45|programmer|45-49
F|79101|11|35|lawyer|35-44
M|63129|18|45|tradesman/craftsman|45-49
M|30316|12|25|programmer|25-34
M|92028|15|45|scientist|45-49
M|90803|2|25|artist|25-34
M|55416|15|35|scientist|35-44
M|97209|16|25|self-employed|25-34
M|37032|12|18|programmer|18-24
F|83712|2|25|artist|25-34
M|28083|17|25|technician/engineer|25-34
M|55744|17|25|technician/engineer|25-34
M|33314|17|25|technician/engineer|25-34
M|22315|17|35|technician/engineer|35-44
F|77515|10|1|K-12 student|Under 18
M|27106|11|25|lawyer|25-34
M|75229|7|35|executive/managerial|35-44
F|94305|4|18|college/grad student|18-24
M|67208|9|35|homemaker|35-44
M|91356|7|56|executive/managerial|56+
M|01701|14|45|sales/marketing|45-49
M|98117|9|18|homemaker|18-24
F|01770|3|45|clerical/admin|45-49
M|37922|6|56|doctor/health care|56+
M|20164|11|25|lawyer|25-34
M|50021|17|35|technician/engineer|35-44
M|06520|4|18|college/grad student|18-24
M|99709|17|25|technician/engineer|25-34
F|55071|0|25|other or not specified|25-34
M|66212|0|25|other or not specified|25-34
M|20006|4|18|college/grad student|18-24
M|21202|2|18|artist|18-24
F|78758|6|45|doctor/health care|45-49
M|22203|20|18|writer|18-24
F|45409|20|25|writer|25-34
F|55107|1|35|academic/educator|35-44
M|62035|13|35|retired|35-44
M|10011|7|25|executive/managerial|25-34
M|64043|3|18|clerical/admin|18-24
M|29401|17|25|technician/engineer|25-34
M|19081|4|18|college/grad student|18-24
F|10954|20|35|writer|35-44
M|91360|4|18|college/grad student|18-24
M|57747|17|50|technician/engineer|50-55
M|29205|1|25|academic/educator|25-34
M|98144|7|35|executive/managerial|35-44
F|85013|20|25|writer|25-34
M|48104|4|18|college/grad student|18-24
M|51537|10|1|K-12 student|Under 18
M|94530|20|50|writer|50-55
M|07470|12|35|programmer|35-44
F|14519|7|45|executive/managerial|45-49
M|12866|16|35|self-employed|35-44
M|28754|7|56|executive/managerial|56+
F|37922|0|45|other or not specified|45-49
M|13021|7|35|executive/managerial|35-44
M|98107-2117|16|45|self-employed|45-49
F|93117|4|18|college/grad student|18-24
M|85013|4|18|college/grad student|18-24
F|94566|13|56|retired|56+
M|98502|16|18|self-employed|18-24
M|92802|4|18|college/grad student|18-24
F|10022|11|25|lawyer|25-34
F|46970|0|50|other or not specified|50-55
M|55439|7|25|executive/managerial|25-34
M|07002|11|25|lawyer|25-34
F|55441|17|50|technician/engineer|50-55
M|07661|3|25|clerical/admin|25-34
M|45237|0|25|other or not specified|25-34
M|21203|16|25|self-employed|25-34
F|95123|2|25|artist|25-34
F|55016|3|18|clerical/admin|18-24
M|54016|1|50|academic/educator|50-55
M|53705|17|56|technician/engineer|56+
M|02135|0|25|other or not specified|25-34
M|01603|12|45|programmer|45-49
M|33186|17|18|technician/engineer|18-24
M|03052|4|18|college/grad student|18-24
F|55407|1|45|academic/educator|45-49
F|19001|0|25|other or not specified|25-34
M|14468|0|45|other or not specified|45-49
